#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance,Year
25,Stade Rennais FC,Ligue 1,€80.50m,22,€95.00m,20,€14.50m,2022
26,Real Madrid,LaLiga,€80.00m,11,€92.15m,12,€12.15m,2022
27,Everton FC,Premier League,€78.20m,14,€103.60m,17,€25.40m,2022
28,SSC Napoli,Serie A,€76.05m,34,€80.45m,31,€4.40m,2022
29,Fulham FC,Premier League,€71.20m,20,€21.90m,21,€-49.30m,2022
30,RB Leipzig,Bundesliga,€59.50m,26,€75.82m,25,€16.32m,2022
31,Brighton & Hove Albion,Premier League,€55.73m,21,€137.90m,23,€82.17m,2022
32,AC Milan,Serie A,€54.77m,30,€11.25m,28,€-43.52m,2022
33,US Sassuolo,Serie A,€54.28m,47,€75.84m,51,€21.56m,2022
34,Sporting CP,Liga Portugal,€53.27m,33,€124.80m,27,€71.53m,2022
35,Real Sociedad,LaLiga,€53.00m,18,€80.50m,16,€27.50m,2022
36,Udinese Calcio,Serie A,€52.50m,30,€61.80m,28,€9.30m,2022
37,Brentford FC,Premier League,€51.50m,19,€3.60m,18,€-47.90m,2022
38,Club Brugge KV,Jupiler Pro League,€50.90m,22,€61.70m,21,€10.80m,2022
39,FC Porto,Liga Portugal,€50.31m,17,€86.05m,17,€35.74m,2022
40,Leicester City,Premier League,€48.00m,10,€81.40m,9,€33.40m,2022
41,Galatasaray,Süper Lig,€46.94m,40,€14.50m,41,€-32.44m,2022
42,AC Monza,Serie A,€46.66m,33,€185k,34,€-46.48m,2022
43,Crystal Palace,Premier League,€46.60m,12,€5.46m,11,€-41.15m,2022
44,US Salernitana 1919,Serie A,€45.60m,46,€21.50m,54,€-24.10m,2022
45,Fenerbahce,Süper Lig,€43.76m,28,€30.05m,30,€-13.71m,2022
46,AS Monaco,Ligue 1,€43.50m,20,€156.20m,21,€112.70m,2022
47,Burnley FC,Championship,€43.20m,31,€76.46m,30,€33.26m,2022
48,Inter Milan,Serie A,€42.60m,46,€8.05m,44,€-34.55m,2022
49,Hellas Verona,Serie A,€40.00m,45,€34.32m,40,€-5.68m,2022
50,SS Lazio,Serie A,€39.80m,35,€42.25m,36,€2.45m,2022
